block_id,A,B,probability,block_number
12,1,10,0.7499999999999999,1
12,2,10,0.15,1
12,3,10,0.1,1
25,1,10,0.7499999999999999,2
25,2,10,0.15,2
25,3,10,0.1,2
38,1,10,0.7499999999999999,3
38,2,10,0.15,3
38,3,10,0.1,3
48,1,10,0.7499999999999999,4
48,2,10,0.15,4
48,3,10,0.1,4
113,1,10,0.7499999999999999,10
113,2,10,0.15,10
113,3,10,0.1,10
141,1,10,0.7499999999999999,13
141,2,10,0.15,13
141,3,10,0.1,13
161,1,10,0.7499999999999999,15
161,2,10,0.15,15
161,3,10,0.1,15
215,1,10,0.7499999999999999,20
215,2,10,0.15,20
215,3,10,0.1,20
229,1,10,0.7499999999999999,22
229,2,10,0.15,22
229,3,10,0.1,22
232,1,10,0.7499999999999999,23
232,2,10,0.15,23
232,3,10,0.1,23
236,1,10,0.7499999999999999,24
236,2,10,0.15,24
236,3,10,0.1,24
237,1,10,0.7499999999999999,25
237,2,10,0.15,25
237,3,10,0.1,25
258,1,10,0.8823529411764706,28
258,1,100,0.0,28
258,1,1000,0.0,28
258,2,10,0.0,28
258,2,100,0.0,28
258,2,1000,0.0,28
258,3,10,0.1176470588235294,28
258,3,100,0.0,28
258,3,1000,0.0,28
265,1,10,0.7499999999999999,29
265,2,10,0.15,29
265,3,10,0.1,29
282,1,10,0.7499999999999999,32
282,2,10,0.15,32
282,3,10,0.1,32
317,1,10,0.7499999999999999,35
317,2,10,0.15,35
317,3,10,0.1,35
332,1,10,0.7499999999999999,37
332,2,10,0.15,37
332,3,10,0.1,37
378,1,10,0.7499999999999999,42
378,2,10,0.15,42
378,3,10,0.1,42
380,1,10,0.7499999999999999,43
380,2,10,0.15,43
380,3,10,0.1,43
403,1,10,0.7499999999999999,47
403,2,10,0.15,47
403,3,10,0.1,47
406,1,10,0.7499999999999999,48
406,2,10,0.15,48
406,3,10,0.1,48
407,1,10,0.7499999999999999,49
407,2,10,0.15,49
407,3,10,0.1,49
418,1,10,0.7499999999999999,51
418,2,10,0.15,51
418,3,10,0.1,51
453,1,10,0.7499999999999999,55
453,2,10,0.15,55
453,3,10,0.1,55
454,1,10,0.7499999999999999,56
454,2,10,0.15,56
454,3,10,0.1,56
495,1,10,0.7499999999999999,59
