block_id,A,B,probability,block_number
12,1,10,0.7499999999999999,1
12,2,10,0.15,1
12,3,10,0.1,1
25,1,10,0.7499999999999999,2
25,2,10,0.15,2
25,3,10,0.1,2
38,1,10,0.7499999999999999,3
38,2,10,0.15,3
38,3,10,0.1,3
48,1,10,0.7499999999999999,4
48,2,10,0.15,4
48,3,10,0.1,4
113,1,10,0.7499999999999999,5
113,2,10,0.15,5
113,3,10,0.1,5
141,1,10,0.7499999999999999,6
141,2,10,0.15,6
141,3,10,0.1,6
161,1,10,0.7499999999999999,7
161,2,10,0.15,7
161,3,10,0.1,7
215,1,10,0.7499999999999999,8
215,2,10,0.15,8
215,3,10,0.1,8
229,1,10,0.7499999999999999,9
229,2,10,0.15,9
229,3,10,0.1,9
232,1,10,0.7499999999999999,10
232,2,10,0.15,10
232,3,10,0.1,10
236,1,10,0.7499999999999999,11
236,2,10,0.15,11
236,3,10,0.1,11
237,1,10,0.7499999999999999,12
237,2,10,0.15,12
237,3,10,0.1,12
258,1,10,0.8823529411764706,13
258,1,100,0.0,13
258,1,1000,0.0,13
258,2,10,0.0,13
258,2,100,0.0,13
258,2,1000,0.0,13
258,3,10,0.1176470588235294,13
258,3,100,0.0,13
258,3,1000,0.0,13
265,1,10,0.7499999999999999,14
265,2,10,0.15,14
265,3,10,0.1,14
282,1,10,0.7499999999999999,15
282,2,10,0.15,15
282,3,10,0.1,15
317,1,10,0.7499999999999999,16
317,2,10,0.15,16
317,3,10,0.1,16
332,1,10,0.7499999999999999,17
332,2,10,0.15,17
332,3,10,0.1,17
378,1,10,0.7499999999999999,18
378,2,10,0.15,18
378,3,10,0.1,18
380,1,10,0.7499999999999999,19
380,2,10,0.15,19
380,3,10,0.1,19
403,1,10,0.7499999999999999,20
403,2,10,0.15,20
403,3,10,0.1,20
406,1,10,0.7499999999999999,21
406,2,10,0.15,21
406,3,10,0.1,21
407,1,10,0.7499999999999999,22
407,2,10,0.15,22
407,3,10,0.1,22
418,1,10,0.7499999999999999,23
418,2,10,0.15,23
418,3,10,0.1,23
453,1,10,0.7499999999999999,24
453,2,10,0.15,24
453,3,10,0.1,24
454,1,10,0.7499999999999999,25
454,2,10,0.15,25
454,3,10,0.1,25
495,1,10,0.7499999999999999,26
