block_id,A,B,probability,block_number
60,1,10,0.6,5
60,1,100,0.2,5
60,1,1000,0.2,5
63,1,10,0.6,6
63,1,100,0.2,6
63,1,1000,0.2,6
76,1,10,0.6,7
76,1,100,0.2,7
76,1,1000,0.2,7
89,3,10,0.2,8
89,3,100,0.2,8
89,3,1000,0.6,8
91,3,10,0.2,9
91,3,100,0.2,9
91,3,1000,0.6,9
115,1,10,0.6,11
115,1,100,0.2,11
115,1,1000,0.2,11
116,1,10,0.6,12
116,1,100,0.2,12
116,1,1000,0.2,12
149,1,10,0.6,14
149,1,100,0.2,14
149,1,1000,0.2,14
162,1,10,0.6,16
162,1,100,0.2,16
162,1,1000,0.2,16
173,1,10,0.6,17
173,1,100,0.2,17
173,1,1000,0.2,17
180,3,10,0.2,18
180,3,100,0.2,18
180,3,1000,0.6,18
197,1,10,0.6,19
197,1,100,0.2,19
197,1,1000,0.2,19
225,3,10,0.2,21
225,3,100,0.2,21
225,3,1000,0.6,21
254,1,10,0.6,26
254,1,100,0.2,26
254,1,1000,0.2,26
255,3,10,0.2,27
255,3,100,0.2,27
255,3,1000,0.6,27
258,1,10,0.8823529411764706,28
258,1,100,0.0,28
258,1,1000,0.0,28
258,2,10,0.0,28
258,2,100,0.0,28
258,2,1000,0.0,28
258,3,10,0.1176470588235294,28
258,3,100,0.0,28
258,3,1000,0.0,28
266,1,10,0.6,30
266,1,100,0.2,30
266,1,1000,0.2,30
271,1,10,0.6,31
271,1,100,0.2,31
271,1,1000,0.2,31
292,1,10,0.6,33
292,1,100,0.2,33
292,1,1000,0.2,33
316,1,10,0.6,34
316,1,100,0.2,34
316,1,1000,0.2,34
320,1,10,0.6,36
320,1,100,0.2,36
320,1,1000,0.2,36
339,1,10,0.6,38
339,1,100,0.2,38
339,1,1000,0.2,38
356,3,10,0.2,39
356,3,100,0.2,39
356,3,1000,0.6,39
365,3,10,0.2,40
365,3,100,0.2,40
365,3,1000,0.6,40
366,1,10,0.6,41
366,1,100,0.2,41
366,1,1000,0.2,41
382,3,10,0.2,44
382,3,100,0.2,44
382,3,1000,0.6,44
384,1,10,0.6,45
384,1,100,0.2,45
384,1,1000,0.2,45
385,1,10,0.6,46
385,1,100,0.2,46
385,1,1000,0.2,46
417,3,10,0.2,50
417,3,100,0.2,50
417,3,1000,0.6,50
426,1,10,0.6,52
426,1,100,0.2,52
426,1,1000,0.2,52
440,1,10,0.6,53
440,1,100,0.2,53
440,1,1000,0.2,53
447,3,10,0.2,54
447,3,100,0.2,54
447,3,1000,0.6,54
456,1,10,0.6,57
456,1,100,0.2,57
456,1,1000,0.2,57
482,1,10,0.6,58
482,1,100,0.2,58
482,1,1000,0.2,58
538,1,10,0.6,62
538,1,100,0.2,62
