block_id,A,B,probability
0,2,10,1.0
1,1,100,1.0
2,3,100,1.0
3,3,100,1.0
4,1,10,1.0
5,2,100,1.0
6,2,100,1.0
7,1,10,1.0
8,1,1000,1.0
9,2,100,1.0
10,1,1000,1.0
11,1,10,1.0
13,1,10,1.0
14,1,10,1.0
15,1,1000,1.0
16,1,100,1.0
17,1,10,1.0
18,1,1000,1.0
19,3,1000,1.0
20,1,1000,1.0
21,3,100,1.0
22,2,10,1.0
23,1,10,1.0
24,1,1000,1.0
26,3,1000,1.0
27,3,100,1.0
28,1,1000,1.0
29,1,10,1.0
30,1,10,1.0
31,3,1000,1.0
32,1,1000,1.0
33,3,1000,1.0
34,1,100,1.0
35,1,1000,1.0
36,1,10,1.0
37,3,100,1.0
39,2,1000,1.0
40,3,100,1.0
41,2,1000,1.0
42,1,10,1.0
43,1,100,1.0
44,1,10,1.0
45,2,100,1.0
46,2,1000,1.0
47,2,1000,1.0
49,1,10,1.0
50,2,1000,1.0
51,1,1000,1.0
52,1,100,1.0
53,2,10,1.0
54,1,10,1.0
55,2,100,1.0
56,2,100,1.0
57,1,10,1.0
58,2,100,1.0
59,1,100,1.0
61,2,10,1.0
62,1,10,1.0
64,3,1000,1.0
65,1,1000,1.0
66,2,100,1.0
67,3,100,1.0
68,1,100,1.0
69,2,100,1.0
70,1,100,1.0
71,1,10,1.0
72,3,10,1.0
73,1,100,1.0
74,2,100,1.0
75,1,1000,1.0
77,2,10,1.0
78,2,100,1.0
79,2,100,1.0
80,3,1000,1.0
81,1,10,1.0
82,3,1000,1.0
83,2,100,1.0
84,3,1000,1.0
85,1,10,1.0
86,1,1000,1.0
87,3,1000,1.0
88,1,1000,1.0
90,2,10,1.0
92,2,100,1.0
93,1,10,1.0
94,1,10,1.0
95,3,1000,1.0
96,1,100,1.0
97,3,1000,1.0
98,2,100,1.0
99,2,100,1.0
100,1,1000,1.0
101,1,100,1.0
102,1,100,1.0
103,1,10,1.0
104,1,10,1.0
105,1,10,1.0
106,3,10,1.0
107,2,1000,1.0
108,2,1000,1.0
109,1,10,1.0
110,2,10,1.0
111,2,100,1.0
112,2,10,1.0
114,2,100,1.0
117,1,10,1.0
118,3,10,1.0
119,3,100,1.0
120,2,100,1.0
121,3,1000,1.0
122,1,1000,1.0
123,1,10,1.0
124,2,100,1.0
125,1,10,1.0
126,3,1000,1.0
127,1,100,1.0
128,1,1000,1.0
129,1,1000,1.0
130,1,10,1.0
131,1,10,1.0
132,2,100,1.0
133,2,100,1.0
134,1,100,1.0
135,3,1000,1.0
136,1,10,1.0
137,1,10,1.0
138,3,1000,1.0
139,3,100,1.0
140,2,100,1.0
142,1,10,1.0
143,1,10,1.0
144,1,100,1.0
145,1,10,1.0
146,2,1000,1.0
147,2,100,1.0
148,3,100,1.0
150,1,1000,1.0
151,2,100,1.0
152,2,1000,1.0
153,2,100,1.0
154,1,10,1.0
155,1,100,1.0
156,2,100,1.0
157,1,1000,1.0
158,3,10,1.0
159,1,1000,1.0
160,1,10,1.0
163,2,1000,1.0
164,1,100,1.0
165,1,1000,1.0
166,1,10,1.0
167,2,100,1.0
168,3,10,1.0
169,1,10,1.0
170,1,10,1.0
171,1,10,1.0
172,1,10,1.0
174,1,1000,1.0
175,2,1000,1.0
176,1,10,1.0
177,1,10,1.0
178,2,100,1.0
179,1,10,1.0
181,2,10,1.0
182,2,100,1.0
183,1,10,1.0
184,1,100,1.0
185,1,10,1.0
186,1,10,1.0
187,2,100,1.0
188,1,10,1.0
189,1,10,1.0
190,2,100,1.0
191,1,100,1.0
192,2,10,1.0
193,3,1000,1.0
194,2,100,1.0
195,3,1000,1.0
196,2,100,1.0
198,1,10,1.0
199,3,1000,1.0
200,3,1000,1.0
201,2,1000,1.0
202,3,100,1.0
203,1,10,1.0
204,1,1000,1.0
205,1,10,1.0
206,2,100,1.0
207,1,10,1.0
208,2,100,1.0
209,1,100,1.0
210,3,10,1.0
211,1,10,1.0
212,1,100,1.0
213,1,10,1.0
214,2,100,1.0
216,2,10,1.0
217,1,1000,1.0
218,1,10,1.0
219,2,1000,1.0
220,3,1000,1.0
221,1,10,1.0
222,1,10,1.0
223,2,100,1.0
224,2,1000,1.0
226,2,100,1.0
227,2,10,1.0
228,1,10,1.0
230,3,1000,1.0
231,3,1000,1.0
233,1,10,1.0
234,1,100,1.0
235,2,10,1.0
238,1,100,1.0
239,1,10,1.0
240,1,1000,1.0
241,3,1000,1.0
242,1,1000,1.0
243,1,10,1.0
244,1,10,1.0
245,1,10,1.0
246,2,100,1.0
247,3,1000,1.0
248,3,1000,1.0
249,3,1000,1.0
250,1,1000,1.0
251,3,100,1.0
252,1,1000,1.0
253,3,1000,1.0
256,3,1000,1.0
257,2,100,1.0
259,1,100,1.0
260,2,100,1.0
261,2,100,1.0
262,2,100,1.0
263,3,1000,1.0
264,1,10,1.0
267,3,100,1.0
268,3,10,1.0
269,1,100,1.0
270,1,10,1.0
272,3,1000,1.0
273,2,1000,1.0
274,2,100,1.0
275,2,100,1.0
276,2,1000,1.0
277,1,10,1.0
278,2,100,1.0
279,1,10,1.0
280,1,100,1.0
281,1,10,1.0
283,2,10,1.0
284,2,1000,1.0
285,1,10,1.0
286,1,10,1.0
287,1,10,1.0
288,1,10,1.0
289,1,1000,1.0
290,1,10,1.0
291,2,100,1.0
293,1,10,1.0
294,1,100,1.0
295,2,100,1.0
296,2,10,1.0
297,2,10,1.0
298,2,10,1.0
299,1,10,1.0
300,3,1000,1.0
301,2,1000,1.0
302,3,1000,1.0
303,1,10,1.0
304,2,10,1.0
305,1,10,1.0
306,1,100,1.0
307,1,10,1.0
308,1,10,1.0
309,1,10,1.0
310,1,1000,1.0
311,3,10,1.0
312,2,10,1.0
313,3,1000,1.0
314,3,10,1.0
315,2,100,1.0
318,3,1000,1.0
319,2,1000,1.0
321,1,10,1.0
322,2,10,1.0
323,1,100,1.0
324,1,10,1.0
325,2,1000,1.0
326,1,10,1.0
327,2,10,1.0
328,2,1000,1.0
329,2,1000,1.0
330,2,100,1.0
331,3,1000,1.0
333,3,1000,1.0
334,2,100,1.0
335,2,100,1.0
336,2,100,1.0
337,2,100,1.0
338,1,1000,1.0
340,1,10,1.0
341,2,10,1.0
342,1,10,1.0
343,2,100,1.0
344,1,100,1.0
345,1,100,1.0
346,1,10,1.0
347,3,1000,1.0
348,2,1000,1.0
349,1,100,1.0
350,3,1000,1.0
351,3,100,1.0
352,2,100,1.0
353,3,1000,1.0
354,2,100,1.0
355,1,100,1.0
357,2,1000,1.0
358,1,10,1.0
359,2,100,1.0
360,1,100,1.0
361,3,1000,1.0
362,1,1000,1.0
363,2,10,1.0
364,1,10,1.0
367,3,1000,1.0
368,1,10,1.0
369,3,100,1.0
370,2,100,1.0
371,1,100,1.0
372,1,1000,1.0
373,1,10,1.0
374,3,1000,1.0
375,1,10,1.0
376,2,10,1.0
377,1,1000,1.0
379,1,1000,1.0
381,1,1000,1.0
383,2,1000,1.0
386,3,1000,1.0
387,1,1000,1.0
388,2,100,1.0
389,2,100,1.0
390,2,100,1.0
391,3,1000,1.0
392,1,10,1.0
393,1,100,1.0
394,2,1000,1.0
395,3,100,1.0
396,2,100,1.0
397,1,10,1.0
398,2,10,1.0
399,2,100,1.0
400,1,10,1.0
401,2,100,1.0
402,2,100,1.0
404,2,10,1.0
405,1,100,1.0
408,1,10,1.0
409,1,1000,1.0
410,1,1000,1.0
411,1,10,1.0
412,1,10,1.0
413,2,1000,1.0
414,1,1000,1.0
415,1,10,1.0
416,2,1000,1.0
419,1,1000,1.0
420,2,100,1.0
421,2,100,1.0
422,2,10,1.0
423,1,100,1.0
424,1,10,1.0
425,3,1000,1.0
427,2,100,1.0
428,1,10,1.0
429,3,100,1.0
430,3,100,1.0
431,1,10,1.0
432,2,100,1.0
433,2,1000,1.0
434,2,100,1.0
435,1,10,1.0
436,3,100,1.0
437,3,1000,1.0
438,1,10,1.0
439,1,10,1.0
441,1,10,1.0
442,1,1000,1.0
443,2,100,1.0
444,3,1000,1.0
445,1,10,1.0
446,1,1000,1.0
448,1,10,1.0
449,3,1000,1.0
450,1,1000,1.0
451,2,100,1.0
452,3,10,1.0
455,2,1000,1.0
457,3,1000,1.0
458,2,100,1.0
459,3,1000,1.0
460,1,100,1.0
461,1,10,1.0
462,1,1000,1.0
463,2,1000,1.0
464,1,1000,1.0
465,2,100,1.0
466,1,10,1.0
467,2,1000,1.0
468,2,100,1.0
469,3,1000,1.0
470,1,1000,1.0
471,1,1000,1.0
472,1,10,1.0
473,1,10,1.0
474,1,1000,1.0
475,1,10,1.0
476,1,1000,1.0
477,1,10,1.0
478,2,100,1.0
479,3,1000,1.0
480,1,10,1.0
481,2,100,1.0
483,1,1000,1.0
484,1,10,1.0
485,3,1000,1.0
486,2,1000,1.0
487,1,10,1.0
488,1,10,1.0
489,1,10,1.0
490,1,100,1.0
491,1,100,1.0
492,3,1000,1.0
493,2,100,1.0
494,1,100,1.0
496,1,10,1.0
497,2,100,1.0
498,1,10,1.0
