block_id,A,B,probability,block_number
12,1,10,0.7499999999999999,1
12,2,10,0.15,1
12,3,10,0.1,1
25,1,10,0.7499999999999999,2
25,2,10,0.15,2
25,3,10,0.1,2
38,1,10,0.7499999999999999,3
38,2,10,0.15,3
38,3,10,0.1,3
48,1,10,0.7499999999999999,4
48,2,10,0.15,4
48,3,10,0.1,4
60,1,10,0.6,5
60,1,100,0.2,5
60,1,1000,0.2,5
63,1,10,0.6,6
63,1,100,0.2,6
63,1,1000,0.2,6
76,1,10,0.6,7
76,1,100,0.2,7
76,1,1000,0.2,7
89,3,10,0.2,8
89,3,100,0.2,8
89,3,1000,0.6,8
91,3,10,0.2,9
91,3,100,0.2,9
91,3,1000,0.6,9
113,1,10,0.7499999999999999,10
113,2,10,0.15,10
113,3,10,0.1,10
115,1,10,0.6,11
115,1,100,0.2,11
115,1,1000,0.2,11
116,1,10,0.6,12
116,1,100,0.2,12
116,1,1000,0.2,12
141,1,10,0.7499999999999999,13
141,2,10,0.15,13
141,3,10,0.1,13
149,1,10,0.6,14
149,1,100,0.2,14
149,1,1000,0.2,14
161,1,10,0.7499999999999999,15
161,2,10,0.15,15
161,3,10,0.1,15
162,1,10,0.6,16
162,1,100,0.2,16
162,1,1000,0.2,16
173,1,10,0.6,17
173,1,100,0.2,17
173,1,1000,0.2,17
180,3,10,0.2,18
180,3,100,0.2,18
180,3,1000,0.6,18
197,1,10,0.6,19
197,1,100,0.2,19
197,1,1000,0.2,19
215,1,10,0.7499999999999999,20
215,2,10,0.15,20
215,3,10,0.1,20
225,3,10,0.2,21
225,3,100,0.2,21
225,3,1000,0.6,21
229,1,10,0.7499999999999999,22
229,2,10,0.15,22
229,3,10,0.1,22
232,1,10,0.7499999999999999,23
232,2,10,0.15,23
232,3,10,0.1,23
236,1,10,0.7499999999999999,24
236,2,10,0.15,24
236,3,10,0.1,24
237,1,10,0.7499999999999999,25
237,2,10,0.15,25
237,3,10,0.1,25
254,1,10,0.6,26
254,1,100,0.2,26
254,1,1000,0.2,26
255,3,10,0.2,27
255,3,100,0.2,27
255,3,1000,0.6,27
258,1,10,0.8823529411764706,28
258,1,100,0.0,28
258,1,1000,0.0,28
258,2,10,0.0,28
258,2,100,0.0,28
258,2,1000,0.0,28
