block_id,A,B,probability,block_number
60,1,10,0.6,1
60,1,100,0.2,1
60,1,1000,0.2,1
63,1,10,0.6,2
63,1,100,0.2,2
63,1,1000,0.2,2
76,1,10,0.6,3
76,1,100,0.2,3
76,1,1000,0.2,3
89,3,10,0.2,4
89,3,100,0.2,4
89,3,1000,0.6,4
91,3,10,0.2,5
91,3,100,0.2,5
91,3,1000,0.6,5
115,1,10,0.6,6
115,1,100,0.2,6
115,1,1000,0.2,6
116,1,10,0.6,7
116,1,100,0.2,7
116,1,1000,0.2,7
149,1,10,0.6,8
149,1,100,0.2,8
149,1,1000,0.2,8
162,1,10,0.6,9
162,1,100,0.2,9
162,1,1000,0.2,9
173,1,10,0.6,10
173,1,100,0.2,10
173,1,1000,0.2,10
180,3,10,0.2,11
180,3,100,0.2,11
180,3,1000,0.6,11
197,1,10,0.6,12
197,1,100,0.2,12
197,1,1000,0.2,12
225,3,10,0.2,13
225,3,100,0.2,13
225,3,1000,0.6,13
254,1,10,0.6,14
254,1,100,0.2,14
254,1,1000,0.2,14
255,3,10,0.2,15
255,3,100,0.2,15
255,3,1000,0.6,15
258,1,10,0.8823529411764706,16
258,1,100,0.0,16
258,1,1000,0.0,16
258,2,10,0.0,16
258,2,100,0.0,16
258,2,1000,0.0,16
258,3,10,0.1176470588235294,16
258,3,100,0.0,16
258,3,1000,0.0,16
266,1,10,0.6,17
266,1,100,0.2,17
266,1,1000,0.2,17
271,1,10,0.6,18
271,1,100,0.2,18
271,1,1000,0.2,18
292,1,10,0.6,19
292,1,100,0.2,19
292,1,1000,0.2,19
316,1,10,0.6,20
316,1,100,0.2,20
316,1,1000,0.2,20
320,1,10,0.6,21
320,1,100,0.2,21
320,1,1000,0.2,21
339,1,10,0.6,22
339,1,100,0.2,22
339,1,1000,0.2,22
356,3,10,0.2,23
356,3,100,0.2,23
356,3,1000,0.6,23
365,3,10,0.2,24
365,3,100,0.2,24
365,3,1000,0.6,24
366,1,10,0.6,25
366,1,100,0.2,25
366,1,1000,0.2,25
382,3,10,0.2,26
382,3,100,0.2,26
382,3,1000,0.6,26
384,1,10,0.6,27
384,1,100,0.2,27
384,1,1000,0.2,27
385,1,10,0.6,28
385,1,100,0.2,28
385,1,1000,0.2,28
417,3,10,0.2,29
417,3,100,0.2,29
417,3,1000,0.6,29
426,1,10,0.6,30
426,1,100,0.2,30
426,1,1000,0.2,30
440,1,10,0.6,31
440,1,100,0.2,31
440,1,1000,0.2,31
447,3,10,0.2,32
447,3,100,0.2,32
447,3,1000,0.6,32
456,1,10,0.6,33
456,1,100,0.2,33
456,1,1000,0.2,33
482,1,10,0.6,34
482,1,100,0.2,34
482,1,1000,0.2,34
538,1,10,0.6,35
538,1,100,0.2,35
538,1,1000,0.2,35
555,1,10,0.8823529411764706,36
555,1,100,0.0,36
555,1,1000,0.0,36
555,2,10,0.0,36
555,2,100,0.0,36
555,2,1000,0.0,36
555,3,10,0.1176470588235294,36
555,3,100,0.0,36
555,3,1000,0.0,36
584,1,10,0.6,37
584,1,100,0.2,37
584,1,1000,0.2,37
594,3,10,0.2,38
594,3,100,0.2,38
594,3,1000,0.6,38
626,3,10,0.2,39
626,3,100,0.2,39
626,3,1000,0.6,39
639,1,10,0.6,40
639,1,100,0.2,40
639,1,1000,0.2,40
644,1,10,0.6,41
644,1,100,0.2,41
644,1,1000,0.2,41
651,1,10,0.6,42
651,1,100,0.2,42
651,1,1000,0.2,42
662,1,10,0.6,43
662,1,100,0.2,43
662,1,1000,0.2,43
716,1,10,0.6,44
716,1,100,0.2,44
716,1,1000,0.2,44
748,3,10,0.2,45
748,3,100,0.2,45
748,3,1000,0.6,45
749,1,10,0.8823529411764706,46
749,1,100,0.0,46
749,1,1000,0.0,46
749,2,10,0.0,46
749,2,100,0.0,46
749,2,1000,0.0,46
749,3,10,0.1176470588235294,46
749,3,100,0.0,46
749,3,1000,0.0,46
767,1,10,0.6,47
767,1,100,0.2,47
767,1,1000,0.2,47
792,1,10,0.6,48
792,1,100,0.2,48
792,1,1000,0.2,48
804,1,10,0.6,49
804,1,100,0.2,49
804,1,1000,0.2,49
815,1,10,0.6,50
815,1,100,0.2,50
815,1,1000,0.2,50
817,3,10,0.2,51
817,3,100,0.2,51
817,3,1000,0.6,51
832,1,10,0.6,52
832,1,100,0.2,52
832,1,1000,0.2,52
847,1,10,0.6,53
847,1,100,0.2,53
847,1,1000,0.2,53
876,1,10,0.6,54
876,1,100,0.2,54
876,1,1000,0.2,54
900,3,10,0.2,55
900,3,100,0.2,55
900,3,1000,0.6,55
905,1,10,0.6,56
905,1,100,0.2,56
905,1,1000,0.2,56
927,1,10,0.6,57
927,1,100,0.2,57
927,1,1000,0.2,57
935,1,10,0.6,58
935,1,100,0.2,58
935,1,1000,0.2,58
956,3,10,0.2,59
956,3,100,0.2,59
956,3,1000,0.6,59
991,1,10,0.6,60
991,1,100,0.2,60
991,1,1000,0.2,60
995,1,10,0.6,61
995,1,100,0.2,61
995,1,1000,0.2,61
1012,3,10,0.2,62
1012,3,100,0.2,62
1012,3,1000,0.6,62
1016,1,10,0.6,63
1016,1,100,0.2,63
1016,1,1000,0.2,63
1040,1,10,0.6,64
1040,1,100,0.2,64
1040,1,1000,0.2,64
1057,3,10,0.2,65
1057,3,100,0.2,65
1057,3,1000,0.6,65
1059,3,10,0.2,66
1059,3,100,0.2,66
1059,3,1000,0.6,66
1093,1,10,0.6,67
1093,1,100,0.2,67
1093,1,1000,0.2,67
1111,3,10,0.2,68
1111,3,100,0.2,68
1111,3,1000,0.6,68
1118,1,10,0.6,69
1118,1,100,0.2,69
1118,1,1000,0.2,69
1134,3,10,0.2,70
1134,3,100,0.2,70
1134,3,1000,0.6,70
1141,3,10,0.2,71
1141,3,100,0.2,71
1141,3,1000,0.6,71
1154,1,10,0.6,72
1154,1,100,0.2,72
1154,1,1000,0.2,72
1193,3,10,0.2,73
1193,3,100,0.2,73
1193,3,1000,0.6,73
1205,1,10,0.6,74
1205,1,100,0.2,74
1205,1,1000,0.2,74
1223,1,10,0.6,75
1223,1,100,0.2,75
1223,1,1000,0.2,75
1228,1,10,0.6,76
1228,1,100,0.2,76
1228,1,1000,0.2,76
1232,3,10,0.2,77
1232,3,100,0.2,77
1232,3,1000,0.6,77
1250,1,10,0.6,78
1250,1,100,0.2,78
1250,1,1000,0.2,78
1262,3,10,0.2,79
1262,3,100,0.2,79
1262,3,1000,0.6,79
1267,1,10,0.6,80
1267,1,100,0.2,80
1267,1,1000,0.2,80
1272,1,10,0.6,81
1272,1,100,0.2,81
1272,1,1000,0.2,81
1326,1,10,0.8823529411764706,82
1326,1,100,0.0,82
1326,1,1000,0.0,82
1326,2,10,0.0,82
1326,2,100,0.0,82
1326,2,1000,0.0,82
1326,3,10,0.1176470588235294,82
1326,3,100,0.0,82
1326,3,1000,0.0,82
1353,1,10,0.6,83
1353,1,100,0.2,83
1353,1,1000,0.2,83
1354,1,10,0.6,84
1354,1,100,0.2,84
1354,1,1000,0.2,84
1363,1,10,0.6,85
1363,1,100,0.2,85
1363,1,1000,0.2,85
1383,3,10,0.2,86
1383,3,100,0.2,86
1383,3,1000,0.6,86
1384,1,10,0.6,87
1384,1,100,0.2,87
1384,1,1000,0.2,87
1386,3,10,0.2,88
1386,3,100,0.2,88
1386,3,1000,0.6,88
1392,3,10,0.2,89
1392,3,100,0.2,89
1392,3,1000,0.6,89
1408,1,10,0.6,90
1408,1,100,0.2,90
1408,1,1000,0.2,90
1438,1,10,0.6,91
1438,1,100,0.2,91
1438,1,1000,0.2,91
1441,3,10,0.2,92
1441,3,100,0.2,92
1441,3,1000,0.6,92
1471,1,10,0.6,93
1471,1,100,0.2,93
1471,1,1000,0.2,93
1473,3,10,0.2,94
1473,3,100,0.2,94
1473,3,1000,0.6,94
1480,1,10,0.6,95
1480,1,100,0.2,95
1480,1,1000,0.2,95
1498,1,10,0.6,96
1498,1,100,0.2,96
1498,1,1000,0.2,96
1523,1,10,0.6,97
1523,1,100,0.2,97
1523,1,1000,0.2,97
1551,3,10,0.2,98
1551,3,100,0.2,98
1551,3,1000,0.6,98
1553,1,10,0.6,99
1553,1,100,0.2,99
1553,1,1000,0.2,99
1555,1,10,0.6,100
1555,1,100,0.2,100
1555,1,1000,0.2,100
1568,3,10,0.2,101
1568,3,100,0.2,101
1568,3,1000,0.6,101
1570,3,10,0.2,102
1570,3,100,0.2,102
1570,3,1000,0.6,102
1574,1,10,0.6,103
1574,1,100,0.2,103
1574,1,1000,0.2,103
1584,3,10,0.2,104
1584,3,100,0.2,104
1584,3,1000,0.6,104
1591,1,10,0.6,105
1591,1,100,0.2,105
1591,1,1000,0.2,105
1596,3,10,0.2,106
1596,3,100,0.2,106
1596,3,1000,0.6,106
1611,3,10,0.2,107
1611,3,100,0.2,107
1611,3,1000,0.6,107
1626,3,10,0.2,108
1626,3,100,0.2,108
1626,3,1000,0.6,108
1631,1,10,0.6,109
1631,1,100,0.2,109
1631,1,1000,0.2,109
1633,1,10,0.6,110
1633,1,100,0.2,110
1633,1,1000,0.2,110
1685,3,10,0.2,111
1685,3,100,0.2,111
1685,3,1000,0.6,111
1706,3,10,0.2,112
1706,3,100,0.2,112
1706,3,1000,0.6,112
1725,3,10,0.2,113
1725,3,100,0.2,113
1725,3,1000,0.6,113
1728,1,10,0.6,114
1728,1,100,0.2,114
1728,1,1000,0.2,114
1732,1,10,0.6,115
1732,1,100,0.2,115
1732,1,1000,0.2,115
1744,1,10,0.6,116
1744,1,100,0.2,116
1744,1,1000,0.2,116
1752,1,10,0.6,117
1752,1,100,0.2,117
1752,1,1000,0.2,117
1766,1,10,0.6,118
1766,1,100,0.2,118
1766,1,1000,0.2,118
1786,1,10,0.6,119
1786,1,100,0.2,119
1786,1,1000,0.2,119
1793,3,10,0.2,120
1793,3,100,0.2,120
1793,3,1000,0.6,120
1870,1,10,0.6,121
1870,1,100,0.2,121
1870,1,1000,0.2,121
1877,1,10,0.6,122
1877,1,100,0.2,122
1877,1,1000,0.2,122
1882,1,10,0.6,123
1882,1,100,0.2,123
1882,1,1000,0.2,123
1894,1,10,0.6,124
1894,1,100,0.2,124
1894,1,1000,0.2,124
1909,3,10,0.2,125
1909,3,100,0.2,125
1909,3,1000,0.6,125
1934,3,10,0.2,126
1934,3,100,0.2,126
1934,3,1000,0.6,126
1947,3,10,0.2,127
1947,3,100,0.2,127
1947,3,1000,0.6,127
1952,1,10,0.6,128
1952,1,100,0.2,128
1952,1,1000,0.2,128
1963,1,10,0.6,129
1963,1,100,0.2,129
1963,1,1000,0.2,129
1978,1,10,0.6,130
1978,1,100,0.2,130
1978,1,1000,0.2,130
1979,1,10,0.6,131
1979,1,100,0.2,131
1979,1,1000,0.2,131
1992,3,10,0.2,132
1992,3,100,0.2,132
1992,3,1000,0.6,132
1999,3,10,0.2,133
1999,3,100,0.2,133
1999,3,1000,0.6,133
2019,3,10,0.2,134
2019,3,100,0.2,134
2019,3,1000,0.6,134
2023,3,10,0.2,135
2023,3,100,0.2,135
2023,3,1000,0.6,135
2034,1,10,0.6,136
2034,1,100,0.2,136
2034,1,1000,0.2,136
2038,1,10,0.6,137
2038,1,100,0.2,137
2038,1,1000,0.2,137
2053,1,10,0.6,138
2053,1,100,0.2,138
2053,1,1000,0.2,138
2079,1,10,0.6,139
2079,1,100,0.2,139
2079,1,1000,0.2,139
2081,1,10,0.6,140
2081,1,100,0.2,140
2081,1,1000,0.2,140
2083,1,10,0.8823529411764706,141
2083,1,100,0.0,141
2083,1,1000,0.0,141
2083,2,10,0.0,141
2083,2,100,0.0,141
2083,2,1000,0.0,141
2083,3,10,0.1176470588235294,141
2083,3,100,0.0,141
2083,3,1000,0.0,141
2084,1,10,0.6,142
2084,1,100,0.2,142
2084,1,1000,0.2,142
2087,1,10,0.6,143
2087,1,100,0.2,143
2087,1,1000,0.2,143
2101,1,10,0.8823529411764706,144
2101,1,100,0.0,144
2101,1,1000,0.0,144
2101,2,10,0.0,144
2101,2,100,0.0,144
2101,2,1000,0.0,144
2101,3,10,0.1176470588235294,144
2101,3,100,0.0,144
2101,3,1000,0.0,144
2103,1,10,0.6,145
2103,1,100,0.2,145
2103,1,1000,0.2,145
2106,3,10,0.2,146
2106,3,100,0.2,146
2106,3,1000,0.6,146
2123,1,10,0.6,147
2123,1,100,0.2,147
2123,1,1000,0.2,147
2137,3,10,0.2,148
2137,3,100,0.2,148
2137,3,1000,0.6,148
2138,1,10,0.6,149
2138,1,100,0.2,149
