block_id,A,B,probability
0,2,10,1.0
1,1,100,1.0
2,3,100,1.0
3,3,100,1.0
4,1,10,1.0
5,2,100,1.0
6,2,100,1.0
7,1,10,1.0
8,1,1000,1.0
9,2,100,1.0
10,1,1000,1.0
11,1,10,1.0
12,1,10,0.7499999999999999
12,2,10,0.15
12,3,10,0.10000000000000002
13,1,10,1.0
14,1,10,1.0
15,1,1000,1.0
16,1,100,1.0
17,1,10,1.0
18,1,1000,1.0
19,3,1000,1.0
20,1,1000,1.0
21,3,100,1.0
22,2,10,1.0
23,1,10,1.0
24,1,1000,1.0
25,1,10,0.7499999999999999
25,2,10,0.15
25,3,10,0.10000000000000002
26,3,1000,1.0
27,3,100,1.0
28,1,1000,1.0
29,1,10,1.0
30,1,10,1.0
31,3,1000,1.0
32,1,1000,1.0
33,3,1000,1.0
34,1,100,1.0
35,1,1000,1.0
36,1,10,1.0
37,3,100,1.0
38,1,10,0.7499999999999999
38,2,10,0.15
38,3,10,0.10000000000000002
39,2,1000,1.0
40,3,100,1.0
41,2,1000,1.0
42,1,10,1.0
43,1,100,1.0
44,1,10,1.0
45,2,100,1.0
46,2,1000,1.0
47,2,1000,1.0
48,1,10,0.7499999999999999
48,2,10,0.15
48,3,10,0.10000000000000002
49,1,10,1.0
50,2,1000,1.0
51,1,1000,1.0
52,1,100,1.0
53,2,10,1.0
54,1,10,1.0
55,2,100,1.0
56,2,100,1.0
57,1,10,1.0
58,2,100,1.0
59,1,100,1.0
60,1,10,0.6
60,1,100,0.2
60,1,1000,0.2
61,2,10,1.0
62,1,10,1.0
63,1,10,0.6
63,1,100,0.2
63,1,1000,0.2
64,3,1000,1.0
65,1,1000,1.0
66,2,100,1.0
67,3,100,1.0
68,1,100,1.0
69,2,100,1.0
70,1,100,1.0
71,1,10,1.0
72,3,10,1.0
73,1,100,1.0
74,2,100,1.0
75,1,1000,1.0
76,1,10,0.6
76,1,100,0.2
76,1,1000,0.2
77,2,10,1.0
78,2,100,1.0
79,2,100,1.0
80,3,1000,1.0
81,1,10,1.0
82,3,1000,1.0
83,2,100,1.0
84,3,1000,1.0
85,1,10,1.0
86,1,1000,1.0
87,3,1000,1.0
88,1,1000,1.0
89,3,10,0.2
89,3,100,0.2
89,3,1000,0.6
90,2,10,1.0
91,3,10,0.2
91,3,100,0.2
91,3,1000,0.6
92,2,100,1.0
93,1,10,1.0
94,1,10,1.0
95,3,1000,1.0
96,1,100,1.0
97,3,1000,1.0
98,2,100,1.0
99,2,100,1.0
100,1,1000,1.0
101,1,100,1.0
102,1,100,1.0
103,1,10,1.0
104,1,10,1.0
105,1,10,1.0
106,3,10,1.0
107,2,1000,1.0
108,2,1000,1.0
109,1,10,1.0
110,2,10,1.0
111,2,100,1.0
112,2,10,1.0
113,1,10,0.7499999999999999
113,2,10,0.15
113,3,10,0.10000000000000002
114,2,100,1.0
115,1,10,0.6
115,1,100,0.2
115,1,1000,0.2
116,1,10,0.6
116,1,100,0.2
116,1,1000,0.2
117,1,10,1.0
118,3,10,1.0
119,3,100,1.0
120,2,100,1.0
121,3,1000,1.0
122,1,1000,1.0
123,1,10,1.0
124,2,100,1.0
125,1,10,1.0
126,3,1000,1.0
127,1,100,1.0
128,1,1000,1.0
129,1,1000,1.0
130,1,10,1.0
131,1,10,1.0
132,2,100,1.0
133,2,100,1.0
134,1,100,1.0
135,3,1000,1.0
136,1,10,1.0
137,1,10,1.0
138,3,1000,1.0
139,3,100,1.0
140,2,100,1.0
141,1,10,0.7499999999999999
141,2,10,0.15
141,3,10,0.10000000000000002
142,1,10,1.0
143,1,10,1.0
144,1,100,1.0
145,1,10,1.0
146,2,1000,1.0
147,2,100,1.0
148,3,100,1.0
149,1,10,0.6
149,1,100,0.2
149,1,1000,0.2
150,1,1000,1.0
151,2,100,1.0
152,2,1000,1.0
153,2,100,1.0
154,1,10,1.0
155,1,100,1.0
156,2,100,1.0
157,1,1000,1.0
158,3,10,1.0
159,1,1000,1.0
160,1,10,1.0
161,1,10,0.7499999999999999
161,2,10,0.15
161,3,10,0.10000000000000002
162,1,10,0.6
162,1,100,0.2
162,1,1000,0.2
163,2,1000,1.0
164,1,100,1.0
165,1,1000,1.0
166,1,10,1.0
167,2,100,1.0
168,3,10,1.0
169,1,10,1.0
170,1,10,1.0
171,1,10,1.0
172,1,10,1.0
173,1,10,0.6
173,1,100,0.2
173,1,1000,0.2
174,1,1000,1.0
175,2,1000,1.0
176,1,10,1.0
177,1,10,1.0
178,2,100,1.0
179,1,10,1.0
180,3,10,0.2
180,3,100,0.2
180,3,1000,0.6
181,2,10,1.0
182,2,100,1.0
183,1,10,1.0
184,1,100,1.0
185,1,10,1.0
186,1,10,1.0
187,2,100,1.0
188,1,10,1.0
189,1,10,1.0
190,2,100,1.0
191,1,100,1.0
192,2,10,1.0
193,3,1000,1.0
194,2,100,1.0
195,3,1000,1.0
196,2,100,1.0
197,1,10,0.6
197,1,100,0.2
197,1,1000,0.2
198,1,10,1.0
199,3,1000,1.0
200,3,1000,1.0
201,2,1000,1.0
202,3,100,1.0
203,1,10,1.0
204,1,1000,1.0
205,1,10,1.0
206,2,100,1.0
207,1,10,1.0
208,2,100,1.0
209,1,100,1.0
210,3,10,1.0
211,1,10,1.0
212,1,100,1.0
213,1,10,1.0
214,2,100,1.0
215,1,10,0.7499999999999999
215,2,10,0.15
215,3,10,0.10000000000000002
216,2,10,1.0
217,1,1000,1.0
218,1,10,1.0
219,2,1000,1.0
220,3,1000,1.0
221,1,10,1.0
222,1,10,1.0
223,2,100,1.0
224,2,1000,1.0
225,3,10,0.2
225,3,100,0.2
225,3,1000,0.6
226,2,100,1.0
227,2,10,1.0
228,1,10,1.0
229,1,10,0.7499999999999999
229,2,10,0.15
229,3,10,0.10000000000000002
230,3,1000,1.0
231,3,1000,1.0
232,1,10,0.7499999999999999
232,2,10,0.15
232,3,10,0.10000000000000002
233,1,10,1.0
234,1,100,1.0
235,2,10,1.0
236,1,10,0.7499999999999999
236,2,10,0.15
236,3,10,0.10000000000000002
237,1,10,0.7499999999999999
237,2,10,0.15
237,3,10,0.10000000000000002
238,1,100,1.0
239,1,10,1.0
240,1,1000,1.0
241,3,1000,1.0
242,1,1000,1.0
243,1,10,1.0
244,1,10,1.0
245,1,10,1.0
246,2,100,1.0
247,3,1000,1.0
248,3,1000,1.0
249,3,1000,1.0
250,1,1000,1.0
251,3,100,1.0
252,1,1000,1.0
253,3,1000,1.0
254,1,10,0.6
254,1,100,0.2
254,1,1000,0.2
255,3,10,0.2
255,3,100,0.2
255,3,1000,0.6
256,3,1000,1.0
257,2,100,1.0
258,1,10,0.8823529411764706
258,1,100,0.0
258,1,1000,0.0
258,2,10,0.0
258,2,100,0.0
258,2,1000,0.0
258,3,10,0.11764705882352945
258,3,100,0.0
258,3,1000,0.0
259,1,100,1.0
260,2,100,1.0
261,2,100,1.0
262,2,100,1.0
263,3,1000,1.0
264,1,10,1.0
265,1,10,0.7499999999999999
265,2,10,0.15
265,3,10,0.10000000000000002
266,1,10,0.6
266,1,100,0.2
266,1,1000,0.2
267,3,100,1.0
268,3,10,1.0
269,1,100,1.0
270,1,10,1.0
271,1,10,0.6
271,1,100,0.2
271,1,1000,0.2
272,3,1000,1.0
273,2,1000,1.0
274,2,100,1.0
275,2,100,1.0
276,2,1000,1.0
277,1,10,1.0
278,2,100,1.0
279,1,10,1.0
280,1,100,1.0
281,1,10,1.0
282,1,10,0.7499999999999999
282,2,10,0.15
282,3,10,0.10000000000000002
283,2,10,1.0
284,2,1000,1.0
285,1,10,1.0
286,1,10,1.0
287,1,10,1.0
288,1,10,1.0
289,1,1000,1.0
290,1,10,1.0
291,2,100,1.0
292,1,10,0.6
292,1,100,0.2
292,1,1000,0.2
293,1,10,1.0
294,1,100,1.0
295,2,100,1.0
296,2,10,1.0
297,2,10,1.0
298,2,10,1.0
299,1,10,1.0
300,3,1000,1.0
301,2,1000,1.0
302,3,1000,1.0
303,1,10,1.0
304,2,10,1.0
305,1,10,1.0
306,1,100,1.0
307,1,10,1.0
308,1,10,1.0
309,1,10,1.0
310,1,1000,1.0
311,3,10,1.0
312,2,10,1.0
313,3,1000,1.0
314,3,10,1.0
315,2,100,1.0
316,1,10,0.6
316,1,100,0.2
316,1,1000,0.2
317,1,10,0.7499999999999999
317,2,10,0.15
317,3,10,0.10000000000000002
318,3,1000,1.0
319,2,1000,1.0
320,1,10,0.6
320,1,100,0.2
320,1,1000,0.2
321,1,10,1.0
322,2,10,1.0
323,1,100,1.0
324,1,10,1.0
325,2,1000,1.0
326,1,10,1.0
327,2,10,1.0
328,2,1000,1.0
329,2,1000,1.0
330,2,100,1.0
331,3,1000,1.0
332,1,10,0.7499999999999999
332,2,10,0.15
332,3,10,0.10000000000000002
333,3,1000,1.0
334,2,100,1.0
335,2,100,1.0
336,2,100,1.0
337,2,100,1.0
338,1,1000,1.0
339,1,10,0.6
339,1,100,0.2
339,1,1000,0.2
340,1,10,1.0
341,2,10,1.0
342,1,10,1.0
