block_id,A,B,probability
12,1,10,0.7499999999999999
12,2,10,0.15
12,3,10,0.1
25,1,10,0.7499999999999999
25,2,10,0.15
25,3,10,0.1
38,1,10,0.7499999999999999
38,2,10,0.15
38,3,10,0.1
48,1,10,0.7499999999999999
48,2,10,0.15
48,3,10,0.1
60,1,10,0.6
60,1,100,0.2
60,1,1000,0.2
63,1,10,0.6
63,1,100,0.2
63,1,1000,0.2
76,1,10,0.6
76,1,100,0.2
76,1,1000,0.2
89,3,10,0.2
89,3,100,0.2
89,3,1000,0.6
91,3,10,0.2
91,3,100,0.2
91,3,1000,0.6
113,1,10,0.7499999999999999
113,2,10,0.15
113,3,10,0.1
115,1,10,0.6
115,1,100,0.2
115,1,1000,0.2
116,1,10,0.6
116,1,100,0.2
116,1,1000,0.2
141,1,10,0.7499999999999999
141,2,10,0.15
141,3,10,0.1
149,1,10,0.6
149,1,100,0.2
149,1,1000,0.2
161,1,10,0.7499999999999999
161,2,10,0.15
161,3,10,0.1
162,1,10,0.6
162,1,100,0.2
162,1,1000,0.2
173,1,10,0.6
173,1,100,0.2
173,1,1000,0.2
180,3,10,0.2
180,3,100,0.2
180,3,1000,0.6
197,1,10,0.6
197,1,100,0.2
197,1,1000,0.2
215,1,10,0.7499999999999999
215,2,10,0.15
215,3,10,0.1
225,3,10,0.2
225,3,100,0.2
225,3,1000,0.6
229,1,10,0.7499999999999999
229,2,10,0.15
229,3,10,0.1
232,1,10,0.7499999999999999
232,2,10,0.15
232,3,10,0.1
236,1,10,0.7499999999999999
236,2,10,0.15
236,3,10,0.1
237,1,10,0.7499999999999999
237,2,10,0.15
237,3,10,0.1
254,1,10,0.6
254,1,100,0.2
254,1,1000,0.2
255,3,10,0.2
255,3,100,0.2
255,3,1000,0.6
258,1,10,0.8823529411764706
258,1,100,0.0
258,1,1000,0.0
258,2,10,0.0
258,2,100,0.0
258,2,1000,0.0
258,3,10,0.1176470588235294
258,3,100,0.0
258,3,1000,0.0
265,1,10,0.7499999999999999
265,2,10,0.15
265,3,10,0.1
266,1,10,0.6
266,1,100,0.2
266,1,1000,0.2
271,1,10,0.6
271,1,100,0.2
271,1,1000,0.2
282,1,10,0.7499999999999999
282,2,10,0.15
282,3,10,0.1
292,1,10,0.6
292,1,100,0.2
292,1,1000,0.2
316,1,10,0.6
316,1,100,0.2
316,1,1000,0.2
317,1,10,0.7499999999999999
317,2,10,0.15
317,3,10,0.1
320,1,10,0.6
320,1,100,0.2
320,1,1000,0.2
332,1,10,0.7499999999999999
332,2,10,0.15
332,3,10,0.1
339,1,10,0.6
339,1,100,0.2
339,1,1000,0.2
356,3,10,0.2
356,3,100,0.2
356,3,1000,0.6
365,3,10,0.2
365,3,100,0.2
365,3,1000,0.6
366,1,10,0.6
366,1,100,0.2
366,1,1000,0.2
378,1,10,0.7499999999999999
378,2,10,0.15
378,3,10,0.1
380,1,10,0.7499999999999999
380,2,10,0.15
380,3,10,0.1
382,3,10,0.2
382,3,100,0.2
382,3,1000,0.6
384,1,10,0.6
384,1,100,0.2
384,1,1000,0.2
385,1,10,0.6
385,1,100,0.2
385,1,1000,0.2
403,1,10,0.7499999999999999
403,2,10,0.15
403,3,10,0.1
406,1,10,0.7499999999999999
406,2,10,0.15
406,3,10,0.1
407,1,10,0.7499999999999999
407,2,10,0.15
407,3,10,0.1
417,3,10,0.2
417,3,100,0.2
417,3,1000,0.6
418,1,10,0.7499999999999999
418,2,10,0.15
418,3,10,0.1
426,1,10,0.6
426,1,100,0.2
426,1,1000,0.2
440,1,10,0.6
440,1,100,0.2
440,1,1000,0.2
447,3,10,0.2
447,3,100,0.2
447,3,1000,0.6
453,1,10,0.7499999999999999
453,2,10,0.15
453,3,10,0.1
454,1,10,0.7499999999999999
454,2,10,0.15
454,3,10,0.1
456,1,10,0.6
456,1,100,0.2
456,1,1000,0.2
482,1,10,0.6
482,1,100,0.2
482,1,1000,0.2
495,1,10,0.7499999999999999
495,2,10,0.15
495,3,10,0.1
520,1,10,0.7499999999999999
520,2,10,0.15
520,3,10,0.1
537,1,10,0.7499999999999999
537,2,10,0.15
537,3,10,0.1
538,1,10,0.6
538,1,100,0.2
538,1,1000,0.2
552,1,10,0.7499999999999999
552,2,10,0.15
552,3,10,0.1
555,1,10,0.8823529411764706
555,1,100,0.0
555,1,1000,0.0
555,2,10,0.0
555,2,100,0.0
555,2,1000,0.0
555,3,10,0.1176470588235294
555,3,100,0.0
555,3,1000,0.0
584,1,10,0.6
584,1,100,0.2
584,1,1000,0.2
591,1,10,0.7499999999999999
591,2,10,0.15
591,3,10,0.1
594,3,10,0.2
594,3,100,0.2
594,3,1000,0.6
604,1,10,0.7499999999999999
604,2,10,0.15
604,3,10,0.1
626,3,10,0.2
626,3,100,0.2
626,3,1000,0.6
639,1,10,0.6
639,1,100,0.2
639,1,1000,0.2
644,1,10,0.6
644,1,100,0.2
644,1,1000,0.2
651,1,10,0.6
651,1,100,0.2
651,1,1000,0.2
662,1,10,0.6
662,1,100,0.2
662,1,1000,0.2
716,1,10,0.6
716,1,100,0.2
716,1,1000,0.2
732,1,10,0.7499999999999999
732,2,10,0.15
732,3,10,0.1
734,1,10,0.7499999999999999
734,2,10,0.15
734,3,10,0.1
747,1,10,0.7499999999999999
747,2,10,0.15
747,3,10,0.1
748,3,10,0.2
748,3,100,0.2
748,3,1000,0.6
749,1,10,0.8823529411764706
749,1,100,0.0
749,1,1000,0.0
749,2,10,0.0
749,2,100,0.0
749,2,1000,0.0
749,3,10,0.1176470588235294
749,3,100,0.0
749,3,1000,0.0
767,1,10,0.6
767,1,100,0.2
767,1,1000,0.2
776,1,10,0.7499999999999999
776,2,10,0.15
776,3,10,0.1
792,1,10,0.6
792,1,100,0.2
792,1,1000,0.2
793,1,10,0.7499999999999999
793,2,10,0.15
793,3,10,0.1
804,1,10,0.6
804,1,100,0.2
804,1,1000,0.2
815,1,10,0.6
815,1,100,0.2
815,1,1000,0.2
817,3,10,0.2
817,3,100,0.2
817,3,1000,0.6
832,1,10,0.6
832,1,100,0.2
832,1,1000,0.2
847,1,10,0.6
847,1,100,0.2
847,1,1000,0.2
854,1,10,0.7499999999999999
854,2,10,0.15
854,3,10,0.1
876,1,10,0.6
876,1,100,0.2
876,1,1000,0.2
900,3,10,0.2
900,3,100,0.2
900,3,1000,0.6
905,1,10,0.6
905,1,100,0.2
905,1,1000,0.2
906,1,10,0.7499999999999999
906,2,10,0.15
906,3,10,0.1
916,1,10,0.7499999999999999
916,2,10,0.15
916,3,10,0.1
927,1,10,0.6
927,1,100,0.2
927,1,1000,0.2
935,1,10,0.6
935,1,100,0.2
935,1,1000,0.2
956,3,10,0.2
956,3,100,0.2
956,3,1000,0.6
968,1,10,0.7499999999999999
968,2,10,0.15
968,3,10,0.1
977,1,10,0.7499999999999999
977,2,10,0.15
977,3,10,0.1
991,1,10,0.6
991,1,100,0.2
991,1,1000,0.2
995,1,10,0.6
995,1,100,0.2
995,1,1000,0.2
999,1,10,0.7499999999999999
999,2,10,0.15
999,3,10,0.1
1012,3,10,0.2
1012,3,100,0.2
1012,3,1000,0.6
1016,1,10,0.6
1016,1,100,0.2
1016,1,1000,0.2
1030,1,10,0.7499999999999999
1030,2,10,0.15
1030,3,10,0.1
1040,1,10,0.6
1040,1,100,0.2
1040,1,1000,0.2
1057,3,10,0.2
1057,3,100,0.2
1057,3,1000,0.6
1058,1,10,0.7499999999999999
1058,2,10,0.15
1058,3,10,0.1
1059,3,10,0.2
1059,3,100,0.2
1059,3,1000,0.6
1066,1,10,0.7499999999999999
1066,2,10,0.15
1066,3,10,0.1
1093,1,10,0.6
1093,1,100,0.2
1093,1,1000,0.2
1111,3,10,0.2
1111,3,100,0.2
1111,3,1000,0.6
1118,1,10,0.6
1118,1,100,0.2
1118,1,1000,0.2
1120,1,10,0.7499999999999999
1120,2,10,0.15
1120,3,10,0.1
1126,1,10,0.7499999999999999
1126,2,10,0.15
1126,3,10,0.1
1129,1,10,0.7499999999999999
1129,2,10,0.15
1129,3,10,0.1
1134,3,10,0.2
1134,3,100,0.2
1134,3,1000,0.6
1141,3,10,0.2
1141,3,100,0.2
1141,3,1000,0.6
1149,1,10,0.7499999999999999
1149,2,10,0.15
1149,3,10,0.1
1154,1,10,0.6
1154,1,100,0.2
1154,1,1000,0.2
1193,3,10,0.2
1193,3,100,0.2
1193,3,1000,0.6
1204,1,10,0.7499999999999999
1204,2,10,0.15
1204,3,10,0.1
1205,1,10,0.6
1205,1,100,0.2
1205,1,1000,0.2
1206,1,10,0.7499999999999999
1206,2,10,0.15
1206,3,10,0.1
1216,1,10,0.7499999999999999
1216,2,10,0.15
1216,3,10,0.1
1223,1,10,0.6
1223,1,100,0.2
1223,1,1000,0.2
1228,1,10,0.6
1228,1,100,0.2
1228,1,1000,0.2
1232,3,10,0.2
1232,3,100,0.2
1232,3,1000,0.6
1250,1,10,0.6
1250,1,100,0.2
1250,1,1000,0.2
1260,1,10,0.7499999999999999
1260,2,10,0.15
1260,3,10,0.1
1262,3,10,0.2
1262,3,100,0.2
1262,3,1000,0.6
1267,1,10,0.6
1267,1,100,0.2
1267,1,1000,0.2
1272,1,10,0.6
1272,1,100,0.2
1272,1,1000,0.2
1289,1,10,0.7499999999999999
1289,2,10,0.15
1289,3,10,0.1
1323,1,10,0.7499999999999999
1323,2,10,0.15
1323,3,10,0.1
1326,1,10,0.8823529411764706
1326,1,100,0.0
1326,1,1000,0.0
1326,2,10,0.0
1326,2,100,0.0
1326,2,1000,0.0
1326,3,10,0.1176470588235294
1326,3,100,0.0
1326,3,1000,0.0
1336,1,10,0.7499999999999999
1336,2,10,0.15
1336,3,10,0.1
1341,1,10,0.7499999999999999
1341,2,10,0.15
1341,3,10,0.1
1348,1,10,0.7499999999999999
1348,2,10,0.15
1348,3,10,0.1
1353,1,10,0.6
1353,1,100,0.2
1353,1,1000,0.2
1354,1,10,0.6
1354,1,100,0.2
1354,1,1000,0.2
1356,1,10,0.7499999999999999
1356,2,10,0.15
1356,3,10,0.1
